GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
CYB561A3-29883	538.066	634.024	881.453	913.461	1373.92	899.936	1206.77	1001.02	1336.73	1432.96	811.793	743.068	594.16	605.575	969.779	514.974	413.145	591.278	659.446	668.047	1178.56	1157.18	1509.94	1177.95	1119.79	1070.8	811.041	736.674	1093.13	1001.44	2854.45	840.233	1735.77	1749.74	1092.77	943.544	1088.84	1446.31	781.789	1070.65	514.286	1110.04	1263.33	685.801	1885.48
ZNF250-42408	717.298	633.546	675.979	542.112	691.568	978.948	516.931	454.985	593.047	570.011	1103.17	637.236	479.034	757.413	800.614	489.638	590.42	490.029	964.388	1248.1	374.327	949.269	188.471	763.189	510.339	353.184	773.795	921.656	2122.98	1533.31	155.456	895.866	412.577	886.475	314.793	539.579	950.214	656.964	1430.54	609.769	1803.04	1590.34	957.322	1458.97	493.934
C1QTNF3-AMACR-15945	123.048	29.8809	156.217	24.5845	20.6602	16.14	9.24117	218.014	17.0822	187.224	186.523	213.67	112.021	82.2499	109.475	252.09	293.318	312.741	192.862	45.4678	115.369	204.726	83.88	12.6649	339.756	52.308	10.6766	65.6572	270.786	458.273	289.695	343.172	145.632	383.723	125.741	42.3475	131.716	18.7792	71.1758	118.54	76.5691	48.3149	55.9945	42.8103	23.2126
MSX2-12183	51.9405	152.766	11.1684	36.6382	180.267	102.121	26.5693	46.7235	34.2985	15.5704	5.08775	24.3775	27.5348	51.3981	23.1764	4.67727	71.6079	136.383	510.473	366.246	41.85	19.4213	682.235	145.077	327.159	24.359	52.8823	209.681	193.92	19.3107	164.682	132.016	174.137	149.004	11.2266	273.779	141.993	83.477	123.72	518.943	179.906	203.887	1043.25	405.854	282.344
ABCC3-35461	16.4499	167.493	18.2928	79.6966	99.1802	164.735	50.9387	52.8695	22.4261	32.6598	124.563	196.793	263.608	110.935	80.1037	8.55591	93.0348	55.554	101.976	567.674	109.938	234.199	44.8399	124.138	705.15	196.519	22.7232	105.049	660.103	418.855	229.952	51.7123	326.22	25.4649	57.351	425.086	186.322	178.434	407.352	81.2168	271.157	275.279	120.614	225.493	865.959
FAM3C-8525	2483.4	2197.38	1263.73	2482.85	1479.77	1413.68	1541.35	1951.99	1933.17	3132.96	4212.29	3861.69	4479.21	7008.38	2499.76	9241.04	6940.19	5188.63	4310	3086.01	4279.93	1921.4	696.523	1178.74	2158.09	1856.03	4991.16	2487.62	508.844	861.153	1029.24	4389.71	794.294	2548.77	10126	1219.7	1579.01	1736.01	1358.69	2090.72	7022.52	3184.62	711.638	1615.56	1089.21
LSM11-42629	28.6911	19.9774	132.488	22.6602	33.6185	36.9993	5.84375	16.1324	16.2442	5.67372	8.02913	8.69842	10.7738	9.16502	151.895	23.0436	5.33449	33.9257	38.1716	41.8025	7.16787	5.19973	41.9656	31.7841	51.9882	17.9304	25.9867	5.49736	16.4224	35.7509	20.5641	23.7044	18.1078	25.5932	20.069	37.1951	104.267	89.8095	56.4968	99.3533	35.9121	50.0744	151.863	54.8147	84.0671
CDKN2AIP-24449	422.284	22.684	514.779	538.507	465.689	218.775	496.32	400.975	297.384	459.71	380.197	289.395	444.197	562.899	306.593	385.101	595.712	420.056	250.833	339.992	345.238	280.961	24.5798	190.766	504.527	228.181	266.718	445.727	306.279	515.516	161.536	265.897	496.055	139.767	321.855	370.043	149.333	298.427	539.032	307.116	557.449	187.705	308.405	298.723	293.501
LINC02375-5421	36.6482	5.26511	6.30864	54.2955	101.316	106.051	83.9887	49.2165	15.8277	5.09739	80.4041	103.411	2.07997	23.6901	96.4466	4.08201	22.5232	45.4904	65.093	21.9736	29.6127	8.32069	15.2937	19.8542	196.475	75.7877	73.1848	44.1134	144.993	203.659	85.5034	3.61442	70.9734	25.9821	16.067	136.956	28.2194	17.263	116.35	133.018	56.5152	57.8008	6.75	102.103	136.05
UQCC1-44019	162.546	258.963	177.347	228.575	121.284	419.488	80.0834	122.488	345.401	125.674	194.308	229.83	137.719	216.142	135.779	137.928	129.845	15.4922	31.4516	111.803	182.669	248.027	889.59	515.627	176.491	311.587	913.078	135.996	32.5859	384.799	41.0303	449.915	120.279	216.867	279.51	70.2197	376.53	45.2535	54.1776	312.105	70.6665	38.7253	856.481	80.3772	150.616
