SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Capnocytophaga_granulosa	0.000561769233639121	0.00100590071100845	0.00077202189062888	0.00568925679910693	0.000269282725560844	0.000755583152518959	0.000319115800818236	0.000584156292445797	0.00227596756887544	0.000622367185113899	0.000334451429074036	4.1668644417543e-05	5.96413840344149e-05	0.000202499711039738	8.27768618220453e-05	0.000102398206966437	0.000208823649974438	0.000812997969067333	0.00193242180724472	2.5897911558632e-05	0.00730876462734627	0.0115396064626591
Capnocytophaga_haemolytica	0.000119876722692725	7.3364838181813e-05	0.000187033908120832	0.000474722861985454	3.05208283988678e-05	0.000168139925906804	0.000177074236781376	0.000216505479018372	0.000299618184675604	0	0.000138992801693106	1.77544658822575e-05	7.49946116076306e-05	4.59606085730642e-05	0	7.24979305322372e-05	4.71786764757065e-05	0.000341509139197	0.000174774224279794	0	0.000389174361333318	0.00106485634428624
Capnocytophaga_ochracea	0.00234157159606682	0.00131025015690332	0.00455100820290159	0.00927316715560649	0.000781778302425166	0.00182372517145389	0.00262108087897613	0.00121597102366922	0.00439477692012858	0.000579558860211885	0.00250729983679205	0.00018877707601339	0.000308245568969946	0.000794526956124456	0.000372008955482604	0.000215036234629517	0.000708066857598513	0.00439431338853304	0.00312700583138382	0.00013286754625733	0.00480893291896198	0.020364128925534
Cardiobacterium_hominis	0.00036880440705976	0.00027741079437498	0.000291592623022116	0.00138955337726992	0.000152922067290161	0.000385814850732211	0.00112614118931465	0.000202888782224764	0.00187911480351266	0.00028566324501921	0.000355083173075357	1.5580449651777e-05	0.000180400423985285	0.000366319701993234	6.23261077248341e-05	0.000120829884220395	0.000154684185166251	0.000624277456647399	0.000381025418423581	3.32168865643324e-05	0.00464134251831574	0.00286092736401105
Cardiobacterium_valvarum	0.000290211759784173	0.000158192932329534	0.000113121713104407	0.000356042146489091	2.70236501448309e-05	0.00022395400919537	0.000393639850111117	0.000126635280180557	0.000921467247209876	4.85709840234392e-05	0.000122704582744695	0	5.52125683882949e-05	0.00011057849389361	2.04507540972112e-05	3.0719462089931e-05	8.12091972122816e-05	0.000220278081549758	0.000219238195696064	2.19569250171011e-05	0.000973987725931494	0.00104887350985042
Catonella_morbi	0.00362107212603203	0.00366021762991451	0.00475021058215318	0.00874157645077903	0.00481593238110468	0.00480698792322773	8.66262453318964e-05	0.00247483464223831	0.00665378496911671	0.000927788118549423	0.00780422863881526	0.0026787503319904	0.00158374447505248	0.00431028598419865	0.000203533695538911	0.0038755673372657	0.00703078292626901	0.00357381659115763	0.00325445454153243	0.00562153580245523	0.00107426148029305	0.00235946593358733
Centipeda_periodontii	0.00050519475991934	0.00566972640073823	0.000469162164707918	0.00769941141782659	0.00252655232589378	0.00200163256193619	0.000795560150143666	0.0006222830434679	0.00560455600542252	0.00589273057016573	0.00381252911519137	0.000854388378578838	0.00837695716744761	0.00139793058946983	0.000514190388729882	0.00285977712415865	0.000885566960076785	0.00114794563349477	0.00661324533282383	0.00103366447003583	0.00174672672807441	0.000565392768166989
Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_aurimucosum	0	0	0	0	0	0	1.40130690978068e-05	0	0	0	0	0	0	1.95673878083343e-05	0	0	0	0	1.58485442671853e-05	0	0	0
Corynebacterium_diphtheriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
